Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Температура панели +X датчик 1,°C,1,int8_t
Температура панели +X датчик 2,°C,1,int8_t
Температура панели +X датчик 3,°C,1,int8_t
Температура панели +X датчик 4,°C,1,int8_t
Температура панели -X датчик 1,°C,1,int8_t
Температура панели -X датчик 2,°C,1,int8_t
Температура панели -X датчик 3,°C,1,int8_t
Температура панели -X датчик 4,°C,1,int8_t
Температура панели +Y датчик 1,°C,1,int8_t
Температура панели +Y датчик 2,°C,1,int8_t
Температура панели -Y датчик 1,°C,1,int8_t
Температура панели -Y датчик 2,°C,1,int8_t
Температура откидной панели +Y датчик 1,°C,1,int8_t
Температура откидной панели +Y датчик 2,°C,1,int8_t
Температура откидной панели +Y датчик 3,°C,1,int8_t
Температура откидной панели +Y датчик 4,°C,1,int8_t
Температура откидной панели -Y датчик 1,°C,1,int8_t
Температура откидной панели -Y датчик 2,°C,1,int8_t
Температура откидной панели -Y датчик 3,°C,1,int8_t
Температура откидной панели -Y датчик 4,°C,1,int8_t
АБ1 датчик контроллера 1,°C,1,int8_t
АБ1 датчик контроллера 2,°C,1,int8_t
АБ1 датчик на плате 1,°C,1,int8_t
АБ1 датчик на плате 2,°C,1,int8_t
АБ1 датчик на плате 3,°C,1,int8_t
АБ1 датчик на плате 4,°C,1,int8_t
АБ2 датчик контроллера 1,°C,1,int8_t
АБ2 датчик контроллера 2,°C,1,int8_t
АБ2 датчик на плате 1,°C,1,int8_t
АБ2 датчик на плате 2,°C,1,int8_t
АБ2 датчик на плате 3,°C,1,int8_t
АБ2 датчик на плате 4,°C,1,int8_t
АБ3 датчик контроллера 1,°C,1,int8_t
АБ3 датчик контроллера 2,°C,1,int8_t
АБ3 датчик на плате 1,°C,1,int8_t
АБ3 датчик на плате 2,°C,1,int8_t
АБ3 датчик на плате 3,°C,1,int8_t
АБ3 датчик на плате 4,°C,1,int8_t
Командный регистр ключа заряда ветви 1 АБ1 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа разряда ветви 1 АБ1 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа заряда ветви 2 АБ1 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа разряда ветви 2 АБ1 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа заряда ветви 1 АБ2 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа разряда ветви 1 АБ2 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа заряда ветви 2 АБ2 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа разряда ветви 2 АБ2 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа заряда ветви 1 АБ3 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа разряда ветви 1 АБ3 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа заряда ветви 2 АБ3 (копия для ТМИ), -,1,uint8_t
Командный регистр ключа разряда ветви 2 АБ3 (копия для ТМИ), -,1,uint8_t
Ключ питания логики АБ (копия для ТМИ), -,1,uint8_t
"ключа термостата ветвь 1,2  АБ1, АБ2,  АБ3 (копия для ТМИ) (битовая маска)", -,1,hex
Командный регистр линии 1 (СОП1) (копия для ТМИ), -,1,uint8_t
Командный регистр линии 2 (СОП2) (копия для ТМИ), -,1,uint8_t
Командный регистр линии 3 (БРК1) (копия для ТМИ), -,1,uint8_t
Командный регистр линии 4 (БРК2) (копия для ТМИ), -,1,uint8_t
Командный регистр линии 5 ( - ) (копия для ТМИ), -,1,uint8_t
Командный регистр линии 6 ( - ) (копия для ТМИ), -,1,uint8_t
Командный регистр линии VBAT1 (МС) (копия для ТМИ), -,1,uint8_t
Командный регистр линии VBAT2 (МС) (копия для ТМИ), -,1,uint8_t
Напряжение внутренней шины СЭС,мВ,2,uint16_t
PMM датчик 1,°C,1,int8_t
PAM датчик 1,°C,1,int8_t
PAM датчик 2,°C,1,int8_t
PAM датчик 3,°C,1,int8_t
PAM датчик 4,°C,1,int8_t
PDM датчик 1,°C,1,int8_t
PDM датчик 2,°C,1,int8_t
PDM датчик 3,°C,1,int8_t
PDM датчик 4,°C,1,int8_t
Массив 3 данных о работе СЭС, -,10,hex
Версия програмного обеспечения FW, -,2,uint16_t
Напряжение канала 1 (усреднение 10с),мВ,2,uint16_t
Напряжение канала 2 (усреднение 10с),мВ,2,uint16_t
Напряжение канала 3 (усреднение 10с),мВ,2,uint16_t
Напряжение канала 4 (усреднение 10с),мВ,2,uint16_t
Напряжение канала VBAT1 (усреднение 10с),мВ,2,uint16_t
Напряжение канала VBAT2 (усреднение 10с),мВ,2,uint16_t
Ток канал 1  (усреднение 10с),мА,2,int16_t
Ток канал 2  (усреднение 10с),мА,2,int16_t
Ток канал 3  (усреднение 10с),мА,2,int16_t
Ток канал 4  (усреднение 10с),мА,2,int16_t
Ток канал VBAT1  (усреднение 10с),мА,2,int16_t
Ток канал VBAT2  (усреднение 10с),мА,2,int16_t
 Ключа питания DC-DC PAM (копия для ТМИ), -,1,uint8_t
Ключ питания LDO PAM, -,1,uint8_t
 вкл/выкл питания PAM телеметрии SP Канал №1  (Копия для ТМИ) , -,1,uint8_t
 вкл/выкл питания PAM телеметрии SP Канал №2  (Копия для ТМИ) , -,1,uint8_t
 вкл/выкл питания PAM телеметрии SP Канал №3  (Копия для ТМИ) , -,1,uint8_t
 вкл/выкл питания PAM телеметрии SP Канал №4  (Копия для ТМИ) , -,1,uint8_t
 вкл/выкл питания PAM телеметрии SP Канал №5  (Копия для ТМИ) , -,1,uint8_t
 вкл/выкл питания PAM телеметрии SP Канал №6  (Копия для ТМИ) , -,1,uint8_t
Режим СЭС ( копия для ТМИ), -,1,uint8_t
Контрольная сумма пакета ТМИ, -,2,uint32_t
