Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Ток заряда/разряда АБ1 ветвь 1,мА,2,int16_t
Ток заряда/разряда АБ1 ветвь 2,мА,2,int16_t
Ток заряда/разряда АБ2 ветвь 1,мА,2,int16_t
Ток заряда/разряда АБ2 ветвь 2,мА,2,int16_t
Ток заряда/разряда АБ3 ветвь 1,мА,2,int16_t
Ток заряда/разряда АБ3 ветвь 2,мА,2,int16_t
Напряжение АБ1 ветвь 1 аккумулятор 1,мВ,2,uint16_t
Напряжение АБ1 ветвь 1 аккумулятор 2,мВ,2,uint16_t
Напряжение АБ1 ветвь 2 аккумулятор 1,мВ,2,uint16_t
Напряжение АБ1 ветвь 2 аккумулятор 2,мВ,2,uint16_t
Напряжение АБ2 ветвь 1 аккумулятор 1,мВ,2,uint16_t
Напряжение АБ2 ветвь 1 аккумулятор 2,мВ,2,uint16_t
Напряжение АБ2 ветвь 2 аккумулятор 1,мВ,2,uint16_t
Напряжение АБ2 ветвь 2 аккумулятор 2,мВ,2,uint16_t
Напряжение АБ3 ветвь 1 аккумулятор 1,мВ,2,uint16_t
Напряжение АБ3 ветвь 1 аккумулятор 2,мВ,2,uint16_t
Напряжение АБ3 ветвь 2 аккумулятор 1,мВ,2,uint16_t
Напряжение АБ3 ветвь 2 аккумулятор 2,мВ,2,uint16_t
Уровень заряда АБ1 ветвь 1,%,1,uint8_t
Уровень заряда АБ1 ветвь 2,%,1,uint8_t
Уровень заряда АБ2 ветвь 1,%,1,uint8_t
Уровень заряда АБ2 ветвь 2,%,1,uint8_t
Уровень заряда АБ3 ветвь 1,%,1,uint8_t
Уровень заряда АБ3 ветвь 2,%,1,uint8_t
Напряжение канала 1,мВ,2,uint16_t
Напряжение канала 2,мВ,2,uint16_t
Напряжение канала 3,мВ,2,uint16_t
Напряжение канала 4,мВ,2,uint16_t
Напряжение канала 5,мВ,2,uint16_t
Напряжение канала 6,мВ,2,uint16_t
"Состояние концевиков раскрыв. элементов, битовая маска", -,2,hex
Массив 2 данных о работе СЭС, -,60,hex
Контрольная сумма пакета ТМИ, -,2,uint32_t
