Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Ток панели +X,мА,2,int16_t
Ток панели -X,мА,2,int16_t
Ток панели +Y,мА,2,int16_t
Ток панели -Y,мА,2,int16_t
Ток откидных панелей плоскость спутника 1  (LT8490),мА,2,int16_t
Ток откидных панелей плоскость спутника 2  (LT8490),мА,2,int16_t
 Напряжение панели +X,мВ,2,uint16_t
 Напряжение панели -X,мВ,2,uint16_t
 Напряжение панели +Y,мВ,2,uint16_t
 Напряжение панели -Y,мВ,2,uint16_t
 Напряжение откидных панелей плоскость спутника 1 ,мВ,2,uint16_t
 Напряжение откидных панелей плосуость спутника 2 ,мВ,2,uint16_t
Медианная температура панели +X,°C,1,int8_t
Медианная температура панели -X,°C,1,int8_t
Медианная температура панели +Y,°C,1,int8_t
Медианная температура панели -Y,°C,1,int8_t
Медианная температура откидной панели +Y,°C,1,int8_t
Медианная температура откидной панели -Y,°C,1,int8_t
"Статус солнечных панелей, битовая маска (в т.ч. ФЭП)", -,5,hex
Полный уровень заряда АБ в %,%,1,uint8_t
Уровень заряда АБ1 ветвь 1,mAh,2,uint16_t
Уровень заряда АБ1 ветвь 2,mAh,2,uint16_t
Уровень заряда АБ2 ветвь 1,mAh,2,uint16_t
Уровень заряда АБ2 ветвь 2,mAh,2,uint16_t
Уровень заряда АБ3 ветвь 1,mAh,2,uint16_t
Уровень заряда АБ3 ветвь 2,mAh,2,uint16_t
Полный уровень заряда АБ в mAh,mAh,2,uint16_t
Средняя температура контроллера АБ1,°C,1,int8_t
Средняя температура ветви 1 АБ1,°C,1,int8_t
Средняя температура ветви 2 АБ1,°C,1,int8_t
Средняя температура контроллера АБ2,°C,1,int8_t
Средняя температура ветви 1 АБ2,°C,1,int8_t
Средняя температура ветви 2 АБ2,°C,1,int8_t
Средняя температура контроллера АБ3,°C,1,int8_t
Средняя температура ветви 1 АБ3,°C,1,int8_t
Средняя температура ветви 2 АБ3,°C,1,int8_t
"Статус АБ, битовая маска", -,3,hex
"Статус ключей заряда и разряда АБ, битовая маска", -,2,hex
Ток канал 1,мА,2,int16_t
Ток канал 2,мА,2,int16_t
Ток канал 3,мА,2,int16_t
Ток канал 4,мА,2,int16_t
Ток канал 5,мА,2,int16_t
Ток канал 6,мА,2,int16_t
Напряжение VBAT1,мВ,2,uint16_t
Напряжение VBAT2,мВ,2,uint16_t
Ток VBAT1,мА,2,int16_t
Ток VBAT2,мА,2,int16_t
"Статус линии пит. подсистем, битовая маска", -,1,hex
Ток потребления модуля СЭС,мА,2,int16_t
Напряжение питания модуля СЭС,мВ,2,uint16_t
Полная мощность зарядки/разрядки АБ,мВт,2,int16_t
Полная вырабатываемая мощность СБ,мВт,2,uint16_t
Полная мощность потребления КА,мВт,2,uint16_t
Медианная температура PMM (один датчик),°C,1,int8_t
Медианная температура PAM,°C,1,int8_t
Медианная температура PDM,°C,1,int8_t
"Статус элементов системы модуля СЭС, битовая маска", -,3,hex
Напряжение батарейной шины СЭС(МАЯК), -,2,uint16_t
Количество перезапусков основного полукомплекта модуля СЭС, -,4,uint32_t
Количество перезапусков резервного полукомплекта модуля СЭС, -,4,uint32_t
Ключа питания CAN основной (копия для ТМИ), -,1,uint8_t
Ключа питания CAN резервный (копия для ТМИ), -,1,uint8_t
Выключить питание Passive CPU (копия для ТМИ), -,1,uint8_t
Режим Констатнт ( копия для ТМИ), -,1,uint8_t
Переключатель основной/резервный (копия для ТМИ), -,1,uint8_t
Контрольная сумма пакета ТМИ, -,2,uint32_t
