Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Высота по Глонасс,"0,1м",4,int32_t
Широта по Глонасс,"0,0001°",4,int32_t
Долгота по Глонасс,"0,0001°",4,int32_t
Горизонтальная скорость,"0,01м/с",4,uint32_t
Азимут горизонтальной скорости,"0,1°",4,uint32_t
Вертикальная скорость,"0,01м/с",4,uint32_t
Дата и время по датчику Глонасс,с,4,uint32_t
Валидность данных Глонасс, -,1,uint8_t
"Антенна в прямой видимости, датчики видят Солнце", -,1,uint8_t
Количество перезапусков активного СОП, -,4,uint32_t
Модуль ускорения,g/16384,2,uint16_t
Вектор магнитной индукции ДСГ1,мкТл,3,3 * int8_t
Вектор магнитной индукции ДСГ2,мкТл,3,3 * int8_t
Вектор магнитной индукции ДСГ3,мкТл,3,3 * int8_t
Вектор магнитной индукции ДСГ4,мкТл,3,3 * int8_t
Вектор магнитной индукции ДСГ5,мкТл,3,3 * int8_t
Вектор магнитной индукции ДСГ6,мкТл,3,3 * int8_t
Вектор магнитной индукции модуля СОП,мкТл,3,3 * int8_t
Вектор угловой скорости ДСГ1,ln(dps),3,3 * int8_t
Вектор угловой скорости ДСГ2,ln(dps),3,3 * int8_t
Вектор угловой скорости ДСГ3,ln(dps),3,3 * int8_t
Вектор угловой скорости ДСГ4,ln(dps),3,3 * int8_t
Вектор угловой скорости ДСГ5,ln(dps),3,3 * int8_t
Вектор угловой скорости ДСГ6,ln(dps),3,3 * int8_t
Вектор угловой скорости СОП,ln(dps),3,3 * int8_t
Угол между парой векторов приоритета 1,градус,2,uint16_t
Угол между парой векторов приоритета 2,градус,2,uint16_t
Температура МК ДСГ1,°C,1,int8_t
Температура МК ДСГ2,°C,1,int8_t
Температура МК ДСГ3,°C,1,int8_t
Температура МК ДСГ4,°C,1,int8_t
Температура МК ДСГ5,°C,1,int8_t
Температура МК ДСГ6,°C,1,int8_t
Температура МК модуля СОП,°C,1,int8_t
Медианная температура ДСГ1,°C,1,int8_t
Медианная температура ДСГ2,°C,1,int8_t
Медианная температура ДСГ3,°C,1,int8_t
Медианная температура ДСГ4,°C,1,int8_t
Медианная температура ДСГ5,°C,1,int8_t
Медианная температура ДСГ6,°C,1,int8_t
Температура платы модуля СОП,°C,1,int8_t
"Статус модуля СОП, бит. маска (в т.ч. номер активного СОП)", -,2,uint16_t
"Статус ДСГ, битовая маска", -,6,hex
Дополнительные данные СОП - величина 1,,2,uint16_t
Точность установления ориентации (копия для ТМИ),"0,01 градус",1,uint8_t
"Статус команды ""Остановить вращение КА"" (копия для ТМИ)", -,1,uint8_t
Точность остановки вращения (копия для ТМИ),"0,01 градус/c",1,uint8_t
"Статус команды ""Установить ориентацию"" (копия для ТМИ)", -,1,uint8_t
Номер ориентации (копия для ТМИ), -,1,uint8_t
Внутреннее время СОП для ТМИ2,мс,4,uint32_t
Версия програмного обеспечения FW ТМИ2,-,1,uint8_t
Контрольная сумма пакета ТМИ, -,2,uint32_t
