Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Оценка времени остановки вращения,с,2,uint16_t
Коэффициент катушки +X,%/А,2,uint16_t
Коэффициент катушки -X,%/А,2,uint16_t
Коэффициент катушки +Y,%/А,2,uint16_t
Коэффициент катушки -Y,%/А,2,uint16_t
Коэффициент катушки +Z,%/А,2,uint16_t
Коэффициент катушки -Z,%/А,2,uint16_t
Вектор углов СД1,-,2,uint16_t
Вектор углов СД2,-,2,uint16_t
Вектор углов СД3,-,2,uint16_t
Вектор углов СД4,-,2,uint16_t
Вектор углов СД5,-,2,uint16_t
Вектор углов СД6,-,2,uint16_t
Вектор направления на Солнце в СК КА, -,6,3 * uint16_t
Вектор углов ДГ1,градус,2,2 * uint8_t
Вектор углов ДГ2,градус,2,2 * uint8_t
Вектор углов ДГ3,градус,2,2 * uint8_t
Вектор углов ДГ4,градус,2,2 * uint8_t
Вектор углов ДГ5,градус,2,2 * uint8_t
Вектор углов ДГ6,градус,2,2 * uint8_t
Вектор направления на Землю в СК КА, -,6,3 * uint16_t
Дополнительные данные СОП - величина 2, -,11,hex
Вектор цели - приоритет 1  (копия для ТМИ), -,3,3 * int8_t
Вектор КА - приоритет 1  (копия для ТМИ), -,3,3 * int8_t
Вектор цели - приоритет 2  (копия для ТМИ), -,3,3 * int8_t
Вектор КА - приоритет 2  (копия для ТМИ), -,3,3 * int8_t
"Статус команды ""Задать вращение""   (копия для ТМИ)", -,1,uint8_t
ωx  (копия для ТМИ),градус/c,1,int8_t
ωy  (копия для ТМИ),градус/c,1,int8_t
ωz  (копия для ТМИ),градус/c,1,int8_t
Массив настроек матрицы СД (копия для ТМИ), -,16,16 * uint8_t
Массив настроек фотокамеры (копия для ТМИ), -,10,10 * uint8_t
"Статус команды ""Сделать снимок фотокамерой"" (копия для ТМИ)", -,1,uint8_t
"Камеры, которые должны сделать снимок (битовая маска) (коп. для ТМИ)", -,1,hex
"Статус команды ""Сделать датчиком СД"" (копия для ТМИ)", -,1,uint8_t
"СД, которые должны сделать снимок (битовая маска) (копия для ТМИ)", -,2,hex
"Статус команды ""Сделать снимок датчиком ДГ"" (копия для ТМИ)", -,1,uint8_t
"ДГ, которые должны сделать снимок (битовая маска) (коп. для ТМИ)", -,2,hex
Внутреннее время СОП для ТМИ3,мс,4,uint32_t
Версия програмного обеспечения FW ТМИ3, -,1,uint8_t
Контрольная сумма пакета ТМИ, -,2,uint32_t
