Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Высота по Глонасс,м,8,double
Широта по Глонасс,градусы,8,double
Долгота по Глонасс,градусы,8,double
Горизонтальная скорость,м/с,8,double
Азимут горизонтальной скорости,градусы,8,double
Вертикальная скорость,м/с,8,double
Дата и время по датчику Глонасс,"дата, время",7,struct time_t
Валидность данных Глонасс, -,1,uint8_t
Вектор ускорения ДСГ1,g/16384,6,3 * int16_t
Вектор ускорения ДСГ2,g/16384,6,3 * int16_t
Вектор ускорения ДСГ3,g/16384,6,3 * int16_t
Вектор ускорения ДСГ4,g/16384,6,3 * int16_t
Вектор ускорения ДСГ5,g/16384,6,3 * int16_t
Вектор ускорения ДСГ6,g/16384,6,3 * int16_t
Вектор ускорения СОП,g/16384,6,3 * int16_t
Температура платы модуля СОП (4 датчика),°C,4,4 * int8_t
Дополнительные данные СОП - величина 3, -,9,hex
Внутреннее время СОП для ТМИ5,мс,4,uint32_t
Версия програмного обеспечения FW ТМИ5, -,1,uint8_t
Контрольная сумма пакета ТМИ, -,2,uint32_t
