Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Вектор магнитной индукции ДСГ1,100/4096 мкТл,6,3 * int16_t
Вектор магнитной индукции ДСГ2,100/4096 мкТл,6,3 * int16_t
Вектор магнитной индукции ДСГ3,100/4096 мкТл,6,3 * int16_t
Вектор магнитной индукции ДСГ4,100/4096 мкТл,6,3 * int16_t
Вектор магнитной индукции ДСГ5,100/4096 мкТл,6,3 * int16_t
Вектор магнитной индукции ДСГ6,100/4096 мкТл,6,3 * int16_t
Вектор магнитной индукции модуля СОП,100/4096 мкТл,6,3 * int16_t
Вектор угловой скорости ДСГ1,2000/32768 dps,6,3 * int16_t
Вектор угловой скорости ДСГ2,2000/32768 dps,6,3 * int16_t
Вектор угловой скорости ДСГ3,2000/32768 dps,6,3 * int16_t
Вектор угловой скорости ДСГ4,2000/32768 dps,6,3 * int16_t
Вектор угловой скорости ДСГ5,2000/32768 dps,6,3 * int16_t
Вектор угловой скорости ДСГ6,2000/32768 dps,6,3 * int16_t
Вектор угловой скорости СОП,2000/32768 dps,6,3 * int16_t
Вектор углов СД1,-,4,uint32_t
Вектор углов СД2,-,4,uint32_t
Вектор углов СД3,-,4,uint32_t
Вектор углов СД4,-,4,uint32_t
Вектор углов СД5,-,4,uint32_t
Вектор углов СД6,-,4,uint32_t
Дополнительные данные СОП - величина 4,,3,-
Внутреннее время СОП для ТМИ6,мс,4,uint32_t
Версия програмного обеспечения FW ТМИ6, -,1,uint8_t
Контрольная сумма пакета ТМИ, -,2,uint32_t
